年	月	年齢層	状態	数
2023	2	9歳以下	自動車乗車中	0
2023	2	9歳以下	自動二輪車乗車中	0
2023	2	9歳以下	原付乗車中	0
2023	2	9歳以下	自転車乗用中	0
2023	2	9歳以下	歩行中	0
2023	2	9歳以下	その他	0
2023	2	10-19歳	自動車乗車中	2
2023	2	10-19歳	自動二輪車乗車中	3
2023	2	10-19歳	原付乗車中	0
2023	2	10-19歳	自転車乗用中	1
2023	2	10-19歳	歩行中	0
2023	2	10-19歳	その他	0
2023	2	20-29歳	自動車乗車中	7
2023	2	20-29歳	自動二輪車乗車中	2
2023	2	20-29歳	原付乗車中	0
2023	2	20-29歳	自転車乗用中	1
2023	2	20-29歳	歩行中	3
2023	2	20-29歳	その他	0
2023	2	30-39歳	自動車乗車中	4
2023	2	30-39歳	自動二輪車乗車中	1
2023	2	30-39歳	原付乗車中	0
2023	2	30-39歳	自転車乗用中	2
2023	2	30-39歳	歩行中	2
2023	2	30-39歳	その他	0
2023	2	40-49歳	自動車乗車中	7
2023	2	40-49歳	自動二輪車乗車中	6
2023	2	40-49歳	原付乗車中	0
2023	2	40-49歳	自転車乗用中	0
2023	2	40-49歳	歩行中	6
2023	2	40-49歳	その他	1
2023	2	50-59歳	自動車乗車中	7
2023	2	50-59歳	自動二輪車乗車中	5
2023	2	50-59歳	原付乗車中	2
2023	2	50-59歳	自転車乗用中	2
2023	2	50-59歳	歩行中	10
2023	2	50-59歳	その他	0
2023	2	60-64歳	自動車乗車中	7
2023	2	60-64歳	自動二輪車乗車中	2
2023	2	60-64歳	原付乗車中	0
2023	2	60-64歳	自転車乗用中	3
2023	2	60-64歳	歩行中	2
2023	2	60-64歳	その他	0
2023	2	65-69歳	自動車乗車中	3
2023	2	65-69歳	自動二輪車乗車中	0
2023	2	65-69歳	原付乗車中	1
2023	2	65-69歳	自転車乗用中	2
2023	2	65-69歳	歩行中	4
2023	2	65-69歳	その他	1
2023	2	70-74歳	自動車乗車中	3
2023	2	70-74歳	自動二輪車乗車中	0
2023	2	70-74歳	原付乗車中	1
2023	2	70-74歳	自転車乗用中	1
2023	2	70-74歳	歩行中	4
2023	2	70-74歳	その他	0
2023	2	75-79歳	自動車乗車中	7
2023	2	75-79歳	自動二輪車乗車中	0
2023	2	75-79歳	原付乗車中	1
2023	2	75-79歳	自転車乗用中	5
2023	2	75-79歳	歩行中	10
2023	2	75-79歳	その他	0
2023	2	80-84歳	自動車乗車中	3
2023	2	80-84歳	自動二輪車乗車中	0
2023	2	80-84歳	原付乗車中	0
2023	2	80-84歳	自転車乗用中	2
2023	2	80-84歳	歩行中	4
2023	2	80-84歳	その他	0
2023	2	85歳以上	自動車乗車中	3
2023	2	85歳以上	自動二輪車乗車中	0
2023	2	85歳以上	原付乗車中	0
2023	2	85歳以上	自転車乗用中	3
2023	2	85歳以上	歩行中	23
2023	2	85歳以上	その他	1
2023	1	9歳以下	自動車乗車中	5
2023	1	9歳以下	自動二輪車乗車中	0
2023	1	9歳以下	原付乗車中	0
2023	1	9歳以下	自転車乗用中	1
2023	1	9歳以下	歩行中	1
2023	1	9歳以下	その他	1
2023	1	10-19歳	自動車乗車中	3
2023	1	10-19歳	自動二輪車乗車中	1
2023	1	10-19歳	原付乗車中	1
2023	1	10-19歳	自転車乗用中	0
2023	1	10-19歳	歩行中	1
2023	1	10-19歳	その他	0
2023	1	20-29歳	自動車乗車中	6
2023	1	20-29歳	自動二輪車乗車中	8
2023	1	20-29歳	原付乗車中	2
2023	1	20-29歳	自転車乗用中	1
2023	1	20-29歳	歩行中	0
2023	1	20-29歳	その他	0
2023	1	30-39歳	自動車乗車中	5
2023	1	30-39歳	自動二輪車乗車中	2
2023	1	30-39歳	原付乗車中	1
2023	1	30-39歳	自転車乗用中	2
2023	1	30-39歳	歩行中	2
2023	1	30-39歳	その他	0
2023	1	40-49歳	自動車乗車中	9
2023	1	40-49歳	自動二輪車乗車中	3
2023	1	40-49歳	原付乗車中	2
2023	1	40-49歳	自転車乗用中	2
2023	1	40-49歳	歩行中	4
2023	1	40-49歳	その他	0
2023	1	50-59歳	自動車乗車中	9
2023	1	50-59歳	自動二輪車乗車中	2
2023	1	50-59歳	原付乗車中	0
2023	1	50-59歳	自転車乗用中	2
2023	1	50-59歳	歩行中	8
2023	1	50-59歳	その他	0
2023	1	60-64歳	自動車乗車中	5
2023	1	60-64歳	自動二輪車乗車中	0
2023	1	60-64歳	原付乗車中	1
2023	1	60-64歳	自転車乗用中	1
2023	1	60-64歳	歩行中	5
2023	1	60-64歳	その他	0
2023	1	65-69歳	自動車乗車中	8
2023	1	65-69歳	自動二輪車乗車中	1
2023	1	65-69歳	原付乗車中	0
2023	1	65-69歳	自転車乗用中	1
2023	1	65-69歳	歩行中	9
2023	1	65-69歳	その他	0
2023	1	70-74歳	自動車乗車中	13
2023	1	70-74歳	自動二輪車乗車中	0
2023	1	70-74歳	原付乗車中	3
2023	1	70-74歳	自転車乗用中	4
2023	1	70-74歳	歩行中	3
2023	1	70-74歳	その他	0
2023	1	75-79歳	自動車乗車中	8
2023	1	75-79歳	自動二輪車乗車中	1
2023	1	75-79歳	原付乗車中	1
2023	1	75-79歳	自転車乗用中	6
2023	1	75-79歳	歩行中	11
2023	1	75-79歳	その他	0
2023	1	80-84歳	自動車乗車中	7
2023	1	80-84歳	自動二輪車乗車中	1
2023	1	80-84歳	原付乗車中	0
2023	1	80-84歳	自転車乗用中	3
2023	1	80-84歳	歩行中	18
2023	1	80-84歳	その他	0
2023	1	85歳以上	自動車乗車中	5
2023	1	85歳以上	自動二輪車乗車中	0
2023	1	85歳以上	原付乗車中	0
2023	1	85歳以上	自転車乗用中	3
2023	1	85歳以上	歩行中	14
2023	1	85歳以上	その他	1
2022	12	9歳以下	自動車乗車中	2
2022	12	9歳以下	自動二輪車乗車中	0
2022	12	9歳以下	原付乗車中	0
2022	12	9歳以下	自転車乗用中	0
2022	12	9歳以下	歩行中	0
2022	12	9歳以下	その他	0
2022	12	10-19歳	自動車乗車中	2
2022	12	10-19歳	自動二輪車乗車中	3
2022	12	10-19歳	原付乗車中	0
2022	12	10-19歳	自転車乗用中	0
2022	12	10-19歳	歩行中	0
2022	12	10-19歳	その他	0
2022	12	20-29歳	自動車乗車中	5
2022	12	20-29歳	自動二輪車乗車中	4
2022	12	20-29歳	原付乗車中	0
2022	12	20-29歳	自転車乗用中	2
2022	12	20-29歳	歩行中	4
2022	12	20-29歳	その他	0
2022	12	30-39歳	自動車乗車中	7
2022	12	30-39歳	自動二輪車乗車中	3
2022	12	30-39歳	原付乗車中	0
2022	12	30-39歳	自転車乗用中	1
2022	12	30-39歳	歩行中	5
2022	12	30-39歳	その他	0
2022	12	40-49歳	自動車乗車中	12
2022	12	40-49歳	自動二輪車乗車中	3
2022	12	40-49歳	原付乗車中	1
2022	12	40-49歳	自転車乗用中	2
2022	12	40-49歳	歩行中	3
2022	12	40-49歳	その他	0
2022	12	50-59歳	自動車乗車中	16
2022	12	50-59歳	自動二輪車乗車中	3
2022	12	50-59歳	原付乗車中	1
2022	12	50-59歳	自転車乗用中	4
2022	12	50-59歳	歩行中	7
2022	12	50-59歳	その他	0
2022	12	60-64歳	自動車乗車中	7
2022	12	60-64歳	自動二輪車乗車中	2
2022	12	60-64歳	原付乗車中	2
2022	12	60-64歳	自転車乗用中	3
2022	12	60-64歳	歩行中	2
2022	12	60-64歳	その他	0
2022	12	65-69歳	自動車乗車中	9
2022	12	65-69歳	自動二輪車乗車中	0
2022	12	65-69歳	原付乗車中	1
2022	12	65-69歳	自転車乗用中	3
2022	12	65-69歳	歩行中	8
2022	12	65-69歳	その他	0
2022	12	70-74歳	自動車乗車中	7
2022	12	70-74歳	自動二輪車乗車中	0
2022	12	70-74歳	原付乗車中	1
2022	12	70-74歳	自転車乗用中	3
2022	12	70-74歳	歩行中	13
2022	12	70-74歳	その他	0
2022	12	75-79歳	自動車乗車中	12
2022	12	75-79歳	自動二輪車乗車中	0
2022	12	75-79歳	原付乗車中	3
2022	12	75-79歳	自転車乗用中	7
2022	12	75-79歳	歩行中	18
2022	12	75-79歳	その他	0
2022	12	80-84歳	自動車乗車中	9
2022	12	80-84歳	自動二輪車乗車中	1
2022	12	80-84歳	原付乗車中	0
2022	12	80-84歳	自転車乗用中	3
2022	12	80-84歳	歩行中	30
2022	12	80-84歳	その他	0
2022	12	85歳以上	自動車乗車中	13
2022	12	85歳以上	自動二輪車乗車中	0
2022	12	85歳以上	原付乗車中	1
2022	12	85歳以上	自転車乗用中	2
2022	12	85歳以上	歩行中	30
2022	12	85歳以上	その他	0
2022	11	9歳以下	自動車乗車中	0
2022	11	9歳以下	自動二輪車乗車中	0
2022	11	9歳以下	原付乗車中	0
2022	11	9歳以下	自転車乗用中	0
2022	11	9歳以下	歩行中	0
2022	11	9歳以下	その他	0
2022	11	10-19歳	自動車乗車中	6
2022	11	10-19歳	自動二輪車乗車中	4
2022	11	10-19歳	原付乗車中	1
2022	11	10-19歳	自転車乗用中	0
2022	11	10-19歳	歩行中	0
2022	11	10-19歳	その他	0
2022	11	20-29歳	自動車乗車中	6
2022	11	20-29歳	自動二輪車乗車中	4
2022	11	20-29歳	原付乗車中	0
