年	月	管区	都道府県	発生件数（速報値）	死者数（確定値）	負傷者数（速報値）
2022	7	北海道	札幌	477	8	535
2022	7	北海道	函館	51	0	55
2022	7	北海道	旭川	57	3	66
2022	7	北海道	釧路	48	2	49
2022	7	北海道	北見	14	0	16
2022	7	北海道	計	647	13	721
2022	7	東北	青森	170	1	202
2022	7	東北	岩手	135	2	156
2022	7	東北	宮城	295	2	363
2022	7	東北	秋田	100	5	118
2022	7	東北	山形	200	3	231
2022	7	東北	福島	197	2	218
2022	7	東北	計	1097	15	1288
2022	7	東京	計	2640	12	2939
2022	7	関東	茨城	487	5	628
2022	7	関東	栃木	323	5	390
2022	7	関東	群馬	823	3	995
2022	7	関東	埼玉	1324	9	1559
2022	7	関東	千葉	1125	11	1368
2022	7	関東	神奈川	1754	6	2044
2022	7	関東	新潟	217	6	234
2022	7	関東	山梨	180	0	219
2022	7	関東	長野	377	5	428
2022	7	関東	静岡	1612	8	2075
2022	7	関東	計	8222	58	9940
2022	7	中部	富山	139	3	155
2022	7	中部	石川	149	3	163
2022	7	中部	福井	69	4	82
2022	7	中部	岐阜	250	6	322
2022	7	中部	愛知	2052	11	2432
2022	7	中部	三重	223	7	286
2022	7	中部	計	2882	34	3440
2022	7	近畿	滋賀	242	2	289
2022	7	近畿	京都	269	1	317
2022	7	近畿	大阪	2097	10	2442
2022	7	近畿	兵庫	1389	15	1646
2022	7	近畿	奈良	191	0	231
2022	7	近畿	和歌山	130	0	163
2022	7	近畿	計	4318	28	5088
2022	7	中国	鳥取	47	1	52
2022	7	中国	島根	65	1	72
2022	7	中国	岡山	349	6	394
2022	7	中国	広島	390	5	461
2022	7	中国	山口	144	1	170
2022	7	中国	計	995	14	1149
2022	7	四国	徳島	155	0	184
2022	7	四国	香川	286	3	339
2022	7	四国	愛媛	178	4	202
2022	7	四国	高知	77	2	84
2022	7	四国	計	696	9	809
2022	7	九州	福岡	1675	7	2110
2022	7	九州	佐賀	280	2	341
2022	7	九州	長崎	213	4	259
2022	7	九州	熊本	238	4	290
2022	7	九州	大分	183	1	234
2022	7	九州	宮崎	276	1	317
2022	7	九州	鹿児島	258	1	297
2022	7	九州	沖縄	250	4	292
2022	7	九州	計	3373	24	4140
2022	7	合計	計	24870	207	29514
2022	6	北海道	札幌	492	4	573
2022	6	北海道	函館	56	0	61
2022	6	北海道	旭川	59	0	81
2022	6	北海道	釧路	42	1	48
2022	6	北海道	北見	13	0	15
2022	6	北海道	計	662	5	778
2022	6	東北	青森	161	2	188
2022	6	東北	岩手	122	1	148
2022	6	東北	宮城	325	1	384
2022	6	東北	秋田	83	1	98
2022	6	東北	山形	231	4	271
2022	6	東北	福島	245	2	283
2022	6	東北	計	1167	11	1372
2022	6	東京	計	2657	8	2932
2022	6	関東	茨城	466	2	555
2022	6	関東	栃木	316	3	381
2022	6	関東	群馬	825	3	1011
2022	6	関東	埼玉	1358	5	1568
2022	6	関東	千葉	1095	6	1293
2022	6	関東	神奈川	1828	13	2075
2022	6	関東	新潟	211	5	241
2022	6	関東	山梨	163	2	214
2022	6	関東	長野	384	1	457
2022	6	関東	静岡	1580	4	1992
2022	6	関東	計	8226	44	9787
2022	6	中部	富山	161	2	194
2022	6	中部	石川	159	1	189
2022	6	中部	福井	86	2	91
2022	6	中部	岐阜	233	6	275
2022	6	中部	愛知	2040	11	2391
2022	6	中部	三重	256	5	310
2022	6	中部	計	2935	27	3450
2022	6	近畿	滋賀	213	3	258
2022	6	近畿	京都	310	0	364
2022	6	近畿	大阪	2197	16	2537
2022	6	近畿	兵庫	1430	14	1653
2022	6	近畿	奈良	213	3	249
2022	6	近畿	和歌山	123	3	137
2022	6	近畿	計	4486	39	5198
2022	6	中国	鳥取	48	1	55
2022	6	中国	島根	66	1	72
2022	6	中国	岡山	369	3	407
2022	6	中国	広島	374	10	433
2022	6	中国	山口	189	2	220
2022	6	中国	計	1046	17	1187
2022	6	四国	徳島	169	2	197
2022	6	四国	香川	257	3	303
2022	6	四国	愛媛	194	4	220
2022	6	四国	高知	80	4	87
2022	6	四国	計	700	13	807
2022	6	九州	福岡	1675	6	2110
2022	6	九州	佐賀	276	1	370
2022	6	九州	長崎	212	3	283
2022	6	九州	熊本	297	7	372
2022	6	九州	大分	198	1	246
2022	6	九州	宮崎	322	1	360
2022	6	九州	鹿児島	266	6	298
2022	6	九州	沖縄	217	2	259
2022	6	九州	計	3463	27	4298
2022	6	合計	計	25342	191	29809
2022	5	北海道	札幌	439	3	509
2022	5	北海道	函館	63	0	77
2022	5	北海道	旭川	50	5	59
2022	5	北海道	釧路	66	3	74
2022	5	北海道	北見	17	0	23
2022	5	北海道	計	635	11	742
2022	5	東北	青森	187	1	226
2022	5	東北	岩手	126	5	155
2022	5	東北	宮城	359	4	441
2022	5	東北	秋田	78	2	96
2022	5	東北	山形	207	1	239
2022	5	東北	福島	203	7	237
2022	5	東北	計	1160	20	1394
2022	5	東京	計	2469	11	2720
2022	5	関東	茨城	474	9	576
2022	5	関東	栃木	369	1	439
2022	5	関東	群馬	736	2	924
2022	5	関東	埼玉	1311	10	1542
2022	5	関東	千葉	1112	12	1347
2022	5	関東	神奈川	1708	13	2022
2022	5	関東	新潟	194	3	212
2022	5	関東	山梨	148	2	179
2022	5	関東	長野	384	7	475
2022	5	関東	静岡	1459	1	1853
